ID	imagePath	data	noise	training_ratio	batch_size	X1	X2	X1Squared	X2Squared	X1X2	sinX1	sinX2	layer_count	neuron_count	H1	H2	H3	H4	H5	H6	learning_rate	activation	regularization	regularization_rate	epoch	total_time	mean_time	train_loss	test_loss	TPR	FPR
0	../output/spiral_25/images/0.png	spiral	25	10	16	1	1	1	0	1	0	0	6	27	2	7	6	7	2	3	0.001	Sigmoid	L2	0.001	100	162.93883323669434	1.6293883323669434	0.81073	0.525104	0	0
1	../output/spiral_25/images/1.png	spiral	25	10	16	1	1	1	0	1	0	0	6	27	2	7	6	7	2	3	0.001	Sigmoid	L2	0.001	200	291.2759780883789	1.4563798904418945	0.816448	0.522805	0	0
2	../output/spiral_25/images/2.png	spiral	25	10	16	1	1	1	0	1	0	0	6	27	2	7	6	7	2	3	0.001	Sigmoid	L2	0.001	400	529.5801162719727	1.3239502906799316	0.827109	0.518945	0	0
3	../output/spiral_25/images/3.png	spiral	25	10	16	1	1	1	0	1	0	0	6	27	2	7	6	7	2	3	0.001	Sigmoid	L2	0.001	800	1000.2951622009277	1.2503689527511597	0.845579	0.513407	0	0
4	../output/spiral_25/images/4.png	spiral	25	10	16	1	1	1	0	1	0	0	6	27	2	7	6	7	2	3	0.001	Sigmoid	L2	0.001	1600	1915.884017944336	1.19742751121521	0.873452	0.507309	0	0
5	../output/spiral_25/images/5.png	spiral	25	20	12	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0.01	Tanh	L2	0.003	100	99.97010231018066	0.9997010231018066	0.883619	0.987809	0.6395348837209303	0.7432432432432432
6	../output/spiral_25/images/6.png	spiral	25	20	12	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0.01	Tanh	L2	0.003	200	160.38823127746582	0.8019411563873291	0.86455	0.918556	0.5813953488372093	0.7162162162162162
7	../output/spiral_25/images/7.png	spiral	25	20	12	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0.01	Tanh	L2	0.003	400	277.285099029541	0.6932127475738525	0.760683	0.713103	0.4883720930232558	0.6216216216216216
8	../output/spiral_25/images/8.png	spiral	25	20	12	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0.01	Tanh	L2	0.003	800	524.0201950073242	0.6550252437591553	0.73431	0.677893	0.43023255813953487	0.5405405405405406
9	../output/spiral_25/images/9.png	spiral	25	20	12	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0.01	Tanh	L2	0.003	1600	1031.4173698425293	0.6446358561515808	0.705501	0.603185	0.3488372093023256	0.40540540540540543
