ID	imagePath	data	noise	training_ratio	batch_size	X1	X2	X1Squared	X2Squared	X1X2	sinX1	sinX2	layer_count	neuron_count	H1	H2	H3	H4	H5	H6	learning_rate	activation	regularization	regularization_rate	epoch	iteration	total_time	mean_time	train_loss	test_loss	train_TPR	train_FPR	test_TPR	test_FPR
0	images/0.png	xor	25	30	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1e-05	ReLU	L1	0.03	25	312	120.274	4.811	0.695	0.693	1.0	1.0	1.0	1.0
1	images/1.png	xor	25	30	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1e-05	ReLU	L1	0.03	50	625	259.914	5.198	0.695	0.693	1.0	1.0	1.0	1.0
2	images/2.png	xor	25	30	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1e-05	ReLU	L1	0.03	100	1250	521.599	5.216	0.695	0.693	1.0	1.0	1.0	1.0
3	images/3.png	xor	25	30	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1e-05	ReLU	L1	0.03	200	2500	1013.825	5.069	0.695	0.693	1.0	1.0	1.0	1.0
4	images/4.png	xor	25	30	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1e-05	ReLU	L1	0.03	400	5000	1964.812	4.912	0.695	0.693	1.0	1.0	1.0	1.0
5	images/5.png	xor	25	30	29	0	0	0	0	1	0	0	3	14	4	6	4	0	0	0	0.001	Tanh	L1	1.0	25	172	93.58	3.743	0.964	0.979	0.069	0.935	0.072	0.944
6	images/6.png	xor	25	30	29	0	0	0	0	1	0	0	3	14	4	6	4	0	0	0	0.001	Tanh	L1	1.0	50	344	201.948	4.039	0.834	0.848	0.069	0.935	0.072	0.944
7	images/7.png	xor	25	30	29	0	0	0	0	1	0	0	3	14	4	6	4	0	0	0	0.001	Tanh	L1	1.0	100	689	385.289	3.853	0.746	0.756	0.069	0.935	0.072	0.944
8	images/8.png	xor	25	30	29	0	0	0	0	1	0	0	3	14	4	6	4	0	0	0	0.001	Tanh	L1	1.0	200	1379	755.269	3.776	0.689	0.696	0.724	0.258	0.783	0.254
9	images/9.png	xor	25	30	29	0	0	0	0	1	0	0	3	14	4	6	4	0	0	0	0.001	Tanh	L1	1.0	400	2758	1462.182	3.655	0.357	0.372	0.931	0.065	0.928	0.056
10	images/10.png	xor	25	40	14	0	0	0	0	0	1	1	5	31	8	6	8	1	8	0	0.03	Sigmoid	L1	0.3	25	357	201.847	8.074	0.694	0.695	1.0	1.0	1.0	1.0
11	images/11.png	xor	25	40	14	0	0	0	0	0	1	1	5	31	8	6	8	1	8	0	0.03	Sigmoid	L1	0.3	50	714	413.187	8.264	0.693	0.693	1.0	1.0	1.0	1.0
12	images/12.png	xor	25	40	14	0	0	0	0	0	1	1	5	31	8	6	8	1	8	0	0.03	Sigmoid	L1	0.3	100	1428	819.342	8.193	0.693	0.692	0	0	0	0
13	images/13.png	xor	25	40	14	0	0	0	0	0	1	1	5	31	8	6	8	1	8	0	0.03	Sigmoid	L1	0.3	200	2857	1597.814	7.989	0.694	0.692	0	0	0	0
14	images/14.png	xor	25	40	14	0	0	0	0	0	1	1	5	31	8	6	8	1	8	0	0.03	Sigmoid	L1	0.3	400	5714	3138.62	7.847	0.694	0.692	0	0	0	0
15	images/15.png	xor	25	20	29	0	0	1	0	1	0	0	5	14	7	1	3	1	2	0	1e-05	Sigmoid	L2	0.01	25	172	105.523	4.221	0.794	0.81	1.0	1.0	1.0	1.0
16	images/16.png	xor	25	20	29	0	0	1	0	1	0	0	5	14	7	1	3	1	2	0	1e-05	Sigmoid	L2	0.01	50	344	218.828	4.377	0.793	0.81	1.0	1.0	1.0	1.0
17	images/17.png	xor	25	20	29	0	0	1	0	1	0	0	5	14	7	1	3	1	2	0	1e-05	Sigmoid	L2	0.01	100	689	432.333	4.323	0.793	0.809	1.0	1.0	1.0	1.0
18	images/18.png	xor	25	20	29	0	0	1	0	1	0	0	5	14	7	1	3	1	2	0	1e-05	Sigmoid	L2	0.01	200	1379	821.828	4.109	0.792	0.809	1.0	1.0	1.0	1.0
19	images/19.png	xor	25	20	29	0	0	1	0	1	0	0	5	14	7	1	3	1	2	0	1e-05	Sigmoid	L2	0.01	400	2758	1602.985	4.007	0.791	0.807	1.0	1.0	1.0	1.0
20	images/20.png	xor	25	50	14	0	0	1	1	0	0	0	2	10	6	4	0	0	0	0	0.003	ReLU	None	0.3	25	357	165.174	6.607	1.089	1.126	0	0	0	0
21	images/21.png	xor	25	50	14	0	0	1	1	0	0	0	2	10	6	4	0	0	0	0	0.003	ReLU	None	0.3	50	714	345.271	6.905	1.089	1.126	0	0	0	0
22	images/22.png	xor	25	50	14	0	0	1	1	0	0	0	2	10	6	4	0	0	0	0	0.003	ReLU	None	0.3	100	1428	668.457	6.685	1.089	1.126	0	0	0	0
23	images/23.png	xor	25	50	14	0	0	1	1	0	0	0	2	10	6	4	0	0	0	0	0.003	ReLU	None	0.3	200	2857	1322.963	6.615	1.089	1.126	0	0	0	0
24	images/24.png	xor	25	50	14	0	0	1	1	0	0	0	2	10	6	4	0	0	0	0	0.003	ReLU	None	0.3	400	5714	2618.774	6.547	1.089	1.126	0	0	0	0
25	images/25.png	xor	25	40	10	0	0	0	0	0	0	1	4	10	6	2	1	1	0	0	0.01	Tanh	L2	1.0	25	500	252.21	10.088	0.698	0.691	0.368	0.286	0.25	0.233
26	images/26.png	xor	25	40	10	0	0	0	0	0	0	1	4	10	6	2	1	1	0	0	0.01	Tanh	L2	1.0	50	1000	515.09	10.302	0.698	0.689	0.368	0.31	0.25	0.233
27	images/27.png	xor	25	40	10	0	0	0	0	0	0	1	4	10	6	2	1	1	0	0	0.01	Tanh	L2	1.0	100	2000	1015.337	10.153	0.698	0.685	0.395	0.31	0.25	0.25
